Actual,Linear,knn,svm,mlp
5.47,7.2,4.31,6.15,5.96
15.2,15.87,16.48,16.17,16.39
6.91,4.42,6.52,4.97,4.84
23.15,20.84,18.25,19.51,24.26
6.46,4.85,4.95,4.93,5.66
6.29,4.0,5.62,5.11,4.43
10.74,11.63,8.0,11.22,8.48
18.5,17.95,15.18,17.66,18.89
9.42,14.92,13.42,14.31,15.68
8.04,9.78,9.71,9.83,9.49
6.53,4.17,4.69,4.7,5.83
20.71,28.96,21.66,29.29,27.43
11.34,13.89,14.04,13.35,13.28
4.96,5.57,4.44,5.15,5.5
21.98,17.45,15.4,17.05,17.08
10.11,11.06,12.72,10.52,11.27
7.38,11.99,8.71,10.59,11.47
17.39,14.92,12.23,14.51,14.64
24.84,19.94,18.74,19.0,20.87
6.94,5.6,5.65,6.34,5.22
6.31,5.02,4.9,5.8,4.69
7.72,8.93,7.15,8.68,6.75
11.18,15.54,13.43,15.55,15.09
20.84,18.33,15.75,18.91,18.19
9.78,15.07,18.58,13.03,15.95
9.13,10.39,10.4,10.47,10.41
9.66,13.72,10.33,12.25,12.79
4.15,2.32,5.63,2.68,4.2
6.78,9.13,11.86,7.99,8.29
6.08,6.93,7.27,6.62,6.17
11.25,13.53,12.52,13.61,13.43
6.79,7.58,9.65,7.38,7.41
6.76,7.56,8.9,7.62,7.15
16.98,10.94,10.48,11.15,10.25
2.26,0.75,3.48,1.42,3.62
16.78,16.12,13.58,15.05,19.57
8.35,10.64,9.31,11.18,9.18
4.58,4.98,4.87,5.1,5.46
3.78,6.87,4.81,6.21,7.09
1.38,-2.68,2.39,-0.89,3.22
4.98,4.68,5.94,4.45,5.11
9.45,12.93,10.07,12.68,11.97
14.11,14.43,16.08,13.45,15.38
14.53,15.49,12.33,14.87,17.98
27.75,20.36,20.56,19.65,21.33
23.28,30.12,25.3,30.87,28.62
6.7,10.28,8.1,9.0,8.51
19.15,20.31,20.45,20.58,22.45
4.74,3.97,5.19,4.26,4.4
3.27,5.28,3.82,4.59,5.47
25.62,22.67,20.7,21.72,25.31
6.84,7.09,9.33,6.46,6.9
10.53,10.76,10.98,9.68,10.27
30.07,30.67,23.8,28.3,28.27
20.13,16.55,15.05,15.7,19.49
4.22,4.6,4.89,4.76,4.7
5.29,4.29,5.35,4.23,4.54
17.79,20.04,17.79,20.52,21.55
10.06,11.28,11.36,11.36,10.5
16.31,12.92,12.98,12.69,11.44
3.0,3.93,6.56,4.2,5.09
8.65,9.88,10.06,10.06,8.7
16.63,15.64,14.15,14.59,15.77
12.67,11.64,9.13,10.95,9.66
4.39,4.67,4.95,5.39,5.06
20.91,19.27,18.48,19.86,19.39
2.87,2.1,3.62,2.43,3.72
5.72,4.29,7.73,4.8,5.16
15.48,15.73,14.94,14.26,17.37
21.2,22.56,18.08,21.04,22.41
10.0,7.19,8.93,6.77,7.44
2.87,0.75,3.16,2.05,3.61
12.06,10.86,9.28,11.3,11.53
4.4,5.95,6.57,5.68,6.5
3.7,1.64,4.35,2.33,3.84
6.35,6.32,7.95,5.77,6.16
27.05,23.64,21.0,23.53,25.24
23.79,22.3,24.02,21.56,22.93
6.59,7.95,9.56,7.89,6.93
10.85,11.79,11.1,11.93,11.94
14.35,14.39,10.58,14.39,13.38
2.98,3.81,5.61,3.29,4.57
16.58,18.89,17.5,18.34,19.99
13.88,20.58,16.86,19.85,19.54
28.91,26.26,20.8,24.43,25.31
22.14,18.03,15.71,18.05,17.32
17.96,14.5,13.53,12.63,14.8
