Features,Linear Regression,kNN,SVM,MLP
DREB,50.58877660346811,0.03177543043688263,0.04600463250167573,0.06933325915097527
OREB,21.541667732940212,-0.009268294624776489,0.001593920638983389,0.0018576981072811435
3PA,5.721238484764181,0.09002413384476861,1.465061184359987,0.2393441139015132
AST,2.068257642371377,0.07445429893965654,0.13535659969203356,0.11704335371612083
FG%,1.6975523580616025,0.023355864800745817,0.06890617176185511,0.07897315830550153
FT%,0.8902507874545056,0.008933351362806012,0.0006171430468410843,0.025819649438892367
DD2,0.46601469843831606,0.015296400449681362,0.02100736335783817,0.0019093573493403051
STL,0.43059014992892136,0.023101579582511737,-0.0023325917555127623,-0.0012605959372632314
BLK,0.41446932421023985,0.003455544631135532,0.008602432044341853,0.0010843027048372553
+/-,0.1573544435319878,0.007343064926779696,-0.00026474878125640016,0.00033350187670626584
3P%,0.14664771360587614,-0.003298961119621894,7.892570007788091e-05,0.0005548759118066219
POS,-0.15388322047934344,-0.00811958013231554,-8.041987893633676e-05,0.0005983273414898682
PF,-0.21787747371992036,0.012931708992362385,4.87403348567265e-06,0.0005573768511025571
TD3,-0.42919563102370284,0.0011513062018705092,0.0015905170730574846,0.0003236021573539897
Age,-0.6575957729485186,0.002361260399182293,0.003576751012672641,0.02167895003270969
3PM,-2.780618447726602,0.06679345838520613,0.15652182221014155,0.04811772908547094
REB,-65.49102375711254,0.02336809584362683,-0.0005568534405162325,0.01265471291887974
